Name;Type;GUID;Notes;Phase;Version;Priority;Stereotype;Fully Qualified Stereotype;Language;Author;Scope;Alias;Status;Complexity;Keywords;Is Abstract;Is Leaf;Is Root;Is Specification;Created Date;Modified Date;Requirement Difficulty;Requirement Priority;GenFile;Profile Metatype;CSV_KEY;CSV_PARENT_KEY
Modern Age;Class;{43144C8E-4283-4b5e-9BF1-A110D2E17139};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 21:35:38;11-юни-2021 21:39:05;;;;Class;CSV63B73073;
Renaissance;Class;{3ECA3399-83F4-4fad-A562-C002E63347FE};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 21:35:45;11-юни-2021 22:12:41;;;;Class;CSVC1612738;
Dark Ages;Class;{B998A7B7-62BB-4a42-8B0D-AFE74D012457};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 21:35:58;11-юни-2021 21:39:05;;;;Class;CSV3A75EFD0;
Portfolio;Class;{F8FA3096-477F-4e25-8552-EF5E24B10AC6};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 21:36:52;11-юни-2021 21:51:31;;;;Class;CSVDBBF89F7;
Fe;Class;{5F350397-0BD3-44c5-A4F6-DC0EBAE7BD8F};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 21:50:58;11-юни-2021 21:52:24;;;;Class;CSVADADDD9D;
LifeSpan;Class;{992B5C12-5864-40e3-A82A-708010415C38};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 21:51:34;11-юни-2021 21:52:33;;;;Class;CSV8BA3C521;
Webpage;Class;{412623D2-FDB4-4336-A4CA-744C5752B1D5};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 21:51:43;11-юни-2021 21:52:12;;;;Class;CSVA9B3269A;
Magazine;Class;{385F210B-92C1-4c83-9545-AEC68CC9A22F};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;12-юни-2021 16:19:02;12-юни-2021 20:24:47;;;;Class;CSVA5D31969;
Book series;Class;{5D1D3F63-5577-4cc6-9F6B-F7F3B1AC49D4};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;12-юни-2021 16:19:08;12-юни-2021 16:22:28;;;;Class;CSV96D773EC;
Book;Class;{48E4337C-FBF2-41e8-8968-52D54B536C30};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;12-юни-2021 16:21:35;14-юни-2021 15:09:11;;;;Class;CSVEC0FD7D1;
Goldcast;Class;{C4138D78-DF89-41a9-ABD8-99F9DF7E45EE};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;12-юни-2021 16:42:05;12-юни-2021 18:01:27;;;;Class;CSV867BE6E2;
Experience Welcome;Class;{784CC0B6-755D-4c81-8904-96D5DB49CD18};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;12-юни-2021 16:46:04;12-юни-2021 18:01:27;;;;Class;CSVE6E1B883;
Virtual event;Class;{174BBB7D-0B8C-4bdc-938C-B702AC64B35D};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;12-юни-2021 16:48:26;12-юни-2021 18:01:13;;;;Class;CSV7C4355E3;
BrightTALK;Class;{74762438-CF56-4af9-9D7D-4719385B1CC9};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;12-юни-2021 16:52:48;12-юни-2021 18:01:13;;;;Class;CSV9FBF170B;
Cube365;Class;{3B58A33D-86AC-4a65-B0BD-CE7008BD67F6};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;12-юни-2021 17:27:34;12-юни-2021 18:01:27;;;;Class;CSV2F321AF1;
Self cast;Class;{4414767C-433F-4989-82B5-097F25D075D1};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;12-юни-2021 17:47:14;12-юни-2021 18:01:27;;;;Class;CSV49350610;
Bevy;Class;{FC2BF0BF-3E65-4a73-8065-30C14917BFE8};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;12-юни-2021 17:48:06;12-юни-2021 18:01:35;;;;Class;CSVDCAFEE22;
Online Experiences;Class;{540CBEEF-6182-418f-8BA5-98BCEAF5F17E};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;12-юни-2021 17:52:31;12-юни-2021 18:01:27;;;;Class;CSV82F9C2AD;
ON24;Class;{BB2540ED-F026-4747-8E52-E68B6DD72FCF};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;12-юни-2021 17:57:57;12-юни-2021 18:01:13;;;;Class;CSV3994DB87;
Grip;Class;{F2F976AF-D168-48d6-A54A-1F2C3D50F7B8};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;12-юни-2021 18:11:57;12-юни-2021 20:44:21;;;;Class;CSV443117C2;
Cvent;Class;{E0FDDD4D-55E8-4b4b-91CD-1459370B0242};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;12-юни-2021 18:16:57;12-юни-2021 20:44:21;;;;Class;CSV560EBE3D;
RainFocus;Class;{ED32A9AE-CDF1-4c36-A7B2-89FCDD283095};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;12-юни-2021 18:22:38;12-юни-2021 20:44:21;;;;Class;CSVDB882560;
PINE;Class;{163769A5-8AB4-4b1b-B69D-EF17DC4B02BF};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;12-юни-2021 18:26:49;12-юни-2021 20:44:07;;;;Class;CSVD9C8AFB9;
6Connex;Class;{2B98EB7E-A455-4630-97F1-F150E96E7F81};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;12-юни-2021 18:32:01;12-юни-2021 20:44:07;;;;Class;CSVDBF1CB89;
Splash;Class;{F3FDD196-EBD7-4106-BE3D-8D1DC5E0C155};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;12-юни-2021 19:43:46;12-юни-2021 20:44:21;;;;Class;CSV3F27176E;
Test Score;Class;{DEFE2A20-76B3-4c85-9E5E-9BB5A80D1F62};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;14-юни-2021 15:07:10;14-юни-2021 15:07:46;;;;Class;CSVB51F8F69;
